numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07190;2,02204E+13;102250;-80;8;190;2.500000;284.850000;273.550000;46;38030;0;mq;mq;mq;1;1250;mq;mq;mq;100420;mq;mq;650;mq;mq;mq;mq;272.450000;mq;mq;5.000000;6.300000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;2.000000;mq;mq;mq;mq;1;mq;1470;mq;mq;mq;mq;mq;mq;mq;mq;mq
07207;2,02204E+13;101610;-140;8;130;7.000000;284.550000;278.150000;65;mq;mq;2;2;mq;mq;mq;mq;mq;mq;101090;mq;mq;-480;mq;mq;mq;mq;mq;mq;mq;15.700000;16.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07222;2,02204E+13;101700;-170;8;140;6.100000;287.650000;276.750000;48;40210;0;mq;mq;mq;0;mq;mq;mq;mq;101390;mq;mq;-270;mq;mq;mq;mq;271.550000;mq;mq;9.400000;13.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07240;2,02204E+13;101940;-130;8;130;4.900000;287.150000;275.350000;45;19500;0;mq;mq;mq;0;mq;mq;mq;mq;100600;mq;mq;110;mq;mq;mq;mq;279.650000;mq;mq;9.500000;9.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07255;2,02204E+13;102030;-130;8;110;5.800000;286.450000;273.150000;40;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100040;mq;mq;290;mq;mq;mq;mq;273.650000;mq;mq;8.600000;8.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07280;2,02204E+13;102200;-120;8;90;1.600000;284.450000;273.250000;46;37570;0;mq;mq;mq;2;1250;mq;mq;mq;99550;mq;mq;540;mq;mq;mq;mq;275.250000;mq;mq;4.100000;6.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;3.200000;mq;mq;mq;mq;2;mq;1080;mq;mq;mq;mq;mq;mq;mq;mq;mq
07299;2,02204E+13;102210;-120;8;230;1.800000;284.050000;272.850000;46;40000;3;1;1;60;5;1250;38;20;11;98930;mq;mq;630;mq;mq;mq;mq;275.750000;mq;mq;5.400000;6.600000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;2;8;1350;4;6;2400;2;0;7800;mq;mq;mq
07314;2,02204E+13;101660;-200;8;100;4.400000;288.450000;274.950000;40;mq;mq;2;mq;mq;mq;mq;mq;mq;mq;101380;mq;mq;-450;mq;mq;mq;mq;mq;mq;mq;7.900000;12.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07335;2,02204E+13;101820;-190;8;100;5.400000;287.050000;273.950000;41;56250;0;mq;mq;mq;0;mq;mq;mq;mq;100380;mq;mq;-110;mq;mq;mq;mq;275.150000;mq;mq;9.500000;10.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07434;2,02204E+13;101730;-180;8;90;4.700000;286.450000;270.050000;32;33250;0;mq;mq;mq;0;mq;mq;mq;mq;96990;mq;mq;-80;mq;mq;mq;mq;274.250000;mq;mq;7.600000;8.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
